id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie
51001_ymq7cl_05000;;5000;;L’Enclos;51240;51001;Ablancourt;;;811245.89;6858008.45;4.514966;48.812541;;;ABLANCOURT;L ENCLOS;inconnue;inconnue
51001004700001;510010047;1;;Rue Perrot d’Ablancourt;51240;51001;Ablancourt;;;811727.28;6858324.99;4.521603;48.815304;;;ABLANCOURT;RUE PERROT D ABLANCOURT;inconnue;inconnue
51001001100002;510010011;2;;Rue de la Chaussée;51240;51001;Ablancourt;;;811697.21;6858440.85;4.521224;48.816351;;;ABLANCOURT;RUE DE LA CHAUSSEE;inconnue;inconnue
51001004100001;510010041;1;;Rue Neuve;51240;51001;Ablancourt;;;811754.73;6858276.36;4.521964;48.814862;;;ABLANCOURT;RUE NEUVE;inconnue;inconnue
51001005600001;510010056;1;;Rue des Tuilots;51240;51001;Ablancourt;;;811761.48;6858306.85;4.522064;48.815135;;;ABLANCOURT;RUE DES TUILOTS;inconnue;inconnue
51001000500001;510010005;1;;Rue de la Bouffanaise;51240;51001;Ablancourt;;;811749.76;6858156.6;4.521865;48.813786;;;ABLANCOURT;RUE DE LA BOUFFANAISE;inconnue;inconnue
51001001300001;510010013;1;;Rue de la Croix;51240;51001;Ablancourt;;;811878.71;6858519.53;4.523716;48.817027;;;ABLANCOURT;RUE DE LA CROIX;inconnue;inconnue
51001003500001;510010035;1;;Rue Michelet;51240;51001;Ablancourt;;;811777.14;6857776.9;4.522138;48.810367;;;ABLANCOURT;RUE MICHELET;inconnue;inconnue
51004_rk6pxt_00001;;1;;Le Château;51260;51004;Allemanche-Launay-et-Soyer;;;758072.38;6833269.05;3.78755;48.597019;;;ALLEMANCHE-LAUNAY-ET-SOYER;LE CHATEAU;inconnue;inconnue
51004_exkkql_00001;;1;;La Saussaie;51260;51004;Allemanche-Launay-et-Soyer;;;757580.18;6835799.77;3.781215;48.619826;;;ALLEMANCHE-LAUNAY-ET-SOYER;LA SAUSSAIE;inconnue;inconnue
51004_tu8zzj_00001;;1;;Launay;51260;51004;Allemanche-Launay-et-Soyer;;;760658.18;6834048.3;3.822725;48.603791;;;ALLEMANCHE-LAUNAY-ET-SOYER;LAUNAY;inconnue;inconnue
51004_if6z0m_05000;;5000;;Valences;51260;51004;Allemanche-Launay-et-Soyer;;;758799.6;6836103.69;3.7978;48.62245;;;ALLEMANCHE-LAUNAY-ET-SOYER;VALENCES;inconnue;inconnue
51004_lbb7cq_00002;;2;;Ruelle Rousset;51260;51004;Allemanche-Launay-et-Soyer;;;758172.4;6834034.05;3.78901;48.603891;;;ALLEMANCHE-LAUNAY-ET-SOYER;RUELLE ROUSSET;inconnue;inconnue
51004050000001;510040500;1;;Rue des Tilleuls;51260;51004;Allemanche-Launay-et-Soyer;;;757832.88;6832985.06;3.784264;48.594486;;;ALLEMANCHE-LAUNAY-ET-SOYER;RUE DES TILLEULS;inconnue;inconnue
51004040000001;510040400;1;;Rue Portote;51260;51004;Allemanche-Launay-et-Soyer;;;758250.08;6834023.15;3.790062;48.603786;;;ALLEMANCHE-LAUNAY-ET-SOYER;RUE PORTOTE;inconnue;inconnue
51004030000001;510040300;1;;Rue de la Fosse Argentier;51260;51004;Allemanche-Launay-et-Soyer;;;758223.79;6833960.85;3.789697;48.603228;;;ALLEMANCHE-LAUNAY-ET-SOYER;RUE DE LA FOSSE ARGENTIER;inconnue;inconnue
51004010200001;510040102;1;;Rue du Jardinot;51260;51004;Allemanche-Launay-et-Soyer;;;758057.53;6833841.35;3.787426;48.602168;;;ALLEMANCHE-LAUNAY-ET-SOYER;RUE DU JARDINOT;inconnue;inconnue
51004_b032_00001;51004_B032;1;;Ferme des Bois;51260;51004;Allemanche-Launay-et-Soyer;;;758232.21;6832712.65;3.789642;48.592;;;ALLEMANCHE-LAUNAY-ET-SOYER;FERME DES BOIS;inconnue;inconnue
51004_b019_05000;51004_B019;5000;;Sur le Chemin de la Chapel;51260;51004;Allemanche-Launay-et-Soyer;;;758951.89;6835106.41;3.799729;48.613466;;;ALLEMANCHE-LAUNAY-ET-SOYER;SUR LE CHEMIN DE LA CHAPEL;inconnue;inconnue
51004020000001;510040200;1;;Rue Berthelin;51260;51004;Allemanche-Launay-et-Soyer;;;758010.73;6834038.33;3.786818;48.603944;;;ALLEMANCHE-LAUNAY-ET-SOYER;RUE BERTHELIN;inconnue;inconnue
51004035000001;510040350;1;;Ruelle Julien;51260;51004;Allemanche-Launay-et-Soyer;;;758087.03;6833965.71;3.787843;48.603284;;;ALLEMANCHE-LAUNAY-ET-SOYER;RUELLE JULIEN;inconnue;inconnue
51004_b033_00003;51004_B033;3;;Ferme de Saussaie;51260;51004;Allemanche-Launay-et-Soyer;;;757550.47;6835785.69;3.78081;48.619702;;;ALLEMANCHE-LAUNAY-ET-SOYER;FERME DE SAUSSAIE;inconnue;inconnue
51004025000002;510040250;2;;Rue du Bourdet;51260;51004;Allemanche-Launay-et-Soyer;;;757952.48;6834187.17;3.786048;48.605288;;;ALLEMANCHE-LAUNAY-ET-SOYER;RUE DU BOURDET;inconnue;inconnue
51004_b009_05000;51004_B009;5000;;Le Champ la Brebis;51260;51004;Allemanche-Launay-et-Soyer;;;758984.13;6835684.97;3.800246;48.618667;;;ALLEMANCHE-LAUNAY-ET-SOYER;LE CHAMP LA BREBIS;inconnue;inconnue
51004045000002;510040450;2;;Ruelle Roussat;51260;51004;Allemanche-Launay-et-Soyer;;;758178.63;6834059.57;3.789098;48.60412;;;ALLEMANCHE-LAUNAY-ET-SOYER;RUELLE ROUSSAT;cadastre;cadastre
51004_b053_00007;51004_B053;7;;Launay Hameau;51260;51004;Allemanche-Launay-et-Soyer;;;760642.99;6833857.36;3.822492;48.602075;;;ALLEMANCHE-LAUNAY-ET-SOYER;LAUNAY HAMEAU;cadastre;cadastre
51003003200001;510030032;1;;Impasse de la Noue;51150;51003;Aigny;;;788216.91;6882763.04;4.206559;49.038686;;;AIGNY;IMPASSE DE LA NOUE;commune;commune
51003001500001;510030015;1;;Place de la République;51150;51003;Aigny;;;788248.89;6882350.43;4.20691;49.034972;;;AIGNY;PLACE DE LA REPUBLIQUE;commune;commune
51003000700001;510030007;1;;Route de Châlons;51150;51003;Aigny;;;788118.71;6882705.03;4.205204;49.038178;;;AIGNY;ROUTE DE CHALONS;commune;commune
51003000800001;510030008;1;;Rue Chanzy;51150;51003;Aigny;;;788232.31;6882435.15;4.206701;49.035736;;;AIGNY;RUE CHANZY;commune;commune
51003000900002;510030009;2;;Rue de l’Eglise;51150;51003;Aigny;;;788226.58;6882302.71;4.206595;49.034546;;;AIGNY;RUE DE L EGLISE;commune;commune
51003002500001;510030025;1;;Rue de la Grande Croix;51150;51003;Aigny;;;788337.66;6882628.3;4.208182;49.037458;;;AIGNY;RUE DE LA GRANDE CROIX;commune;commune
51003002600002;510030026;2;;Rue des Grandes-Loges;51150;51003;Aigny;;;788623.64;6882553.26;4.212077;49.036744;;;AIGNY;RUE DES GRANDES LOGES;commune;commune
51003001100002;510030011;2;;Rue d’Isse;51150;51003;Aigny;;;788354.97;6882558.16;4.208404;49.036825;;;AIGNY;RUE D ISSE;commune;commune
51003001200001;510030012;1;;Rue Joseph Poulain Goret;51150;51003;Aigny;;;788427.62;6882326.58;4.209349;49.034733;;;AIGNY;RUE JOSEPH POULAIN GORET;commune;commune
51003002700003;510030027;3;;Rue Madagascar;51150;51003;Aigny;;;788111.4;6882484.92;4.205058;49.0362;;;AIGNY;RUE MADAGASCAR;commune;commune
51003001300001;510030013;1;;Rue Pasteur;51150;51003;Aigny;;;788402.33;6882339.88;4.209006;49.034856;;;AIGNY;RUE PASTEUR;commune;commune
51003001600002;510030016;2;;Rue de la République;51150;51003;Aigny;;;788315.93;6882356.35;4.207828;49.035016;;;AIGNY;RUE DE LA REPUBLIQUE;commune;commune
51003002200002;510030022;2;;Rue Saint-Antoine;51150;51003;Aigny;;;788436.56;6882372.77;4.209481;49.035147;;;AIGNY;RUE SAINT ANTOINE;commune;commune
51003001800001;510030018;1;;Rue de Susaigny;51150;51003;Aigny;;;788495.94;6882259;4.210269;49.034116;;;AIGNY;RUE DE SUSAIGNY;commune;commune
51003002000002;510030020;2;;Rue Thiers;51150;51003;Aigny;;;788290.88;6882301.47;4.207474;49.034526;;;AIGNY;RUE THIERS;commune;commune
51002_1kstzq_00001;;1;;Les Philippettes;51530;51002;Saint-Martin-d'Ablois;;;763298.6;6880212.76;3.865397;49.018696;;;SAINT-MARTIN-D ABLOIS;LES PHILIPPETTES;inconnue;inconnue
51002_cjvwng_00001;;1;;Allee de la Foret;51530;51002;Saint-Martin-d'Ablois;;;762403.97;6878818.48;3.852961;49.006247;;;SAINT-MARTIN-D ABLOIS;ALLEE DE LA FORET;inconnue;inconnue
51002_79r9kz_00001;;1;;Route de Mont Bayen;51530;51002;Saint-Martin-d'Ablois;;;763376.7;6879694.45;3.866387;49.014028;;;SAINT-MARTIN-D ABLOIS;ROUTE DE MONT BAYEN;inconnue;inconnue
